0 	0.006322 	100000 76.33 	0.005313 	100000 81.11
1 	0.000396 	99368 	75.81 	0.000346 	99469 	80.54
2 	0.000282 	99328 	74.84 	0.000221 	99434 	79.57
3 	0.000212 	99300 	73.86 	0.000162 	99412 	78.59
4 	0.000186 	99279 	72.88 	0.000131 	99396 	77.60
5 	0.000162 	99261 	71.89 	0.000116 	99383 	76.61
6 	0.000144 	99245 	70.90 	0.000106 	99372 	75.62
7 	0.000129 	99231 	69.91 	0.000098 	99361 	74.63
8 	0.000114 	99218 	68.92 	0.000091 	99351 	73.64
9 	0.000100 	99206 	67.93 	0.000086 	99342 	72.64
10 	0.000093 	99197 	66.94 	0.000084 	99334 	71.65
11 	0.000101 	99187 	65.94 	0.000087 	99325 	70.66
12 	0.000136 	99177 	64.95 	0.000100 	99317 	69.66
13 	0.000205 	99164 	63.96 	0.000124 	99307 	68.67
14 	0.000299 	99144 	62.97 	0.000157 	99294 	67.68
15 	0.000401 	99114 	61.99 	0.000194 	99279 	66.69
16 	0.000505 	99074 	61.02 	0.000232 	99260 	65.70
17 	0.000620 	99024 	60.05 	0.000269 	99237 	64.72
18 	0.000747 	98963 	59.08 	0.000304 	99210 	63.73
19 	0.000879 	98889 	58.13 	0.000338 	99180 	62.75
20 	0.001019 	98802 	57.18 	0.000373 	99146 	61.77
21 	0.001151 	98701 	56.24 	0.000409 	99109 	60.80
22 	0.001252 	98588 	55.30 	0.000442 	99069 	59.82
23 	0.001309 	98464 	54.37 	0.000471 	99025 	58.85
24 	0.001335 	98335 	53.44 	0.000497 	98978 	57.87
25 	0.001349 	98204 	52.51 	0.000524 	98929 	56.90
26 	0.001369 	98072 	51.58 	0.000553 	98877 	55.93
27 	0.001391 	97937 	50.65 	0.000582 	98822 	54.96
28 	0.001422 	97801 	49.72 	0.000611 	98765 	53.99
29 	0.001459 	97662 	48.79 	0.000641 	98705 	53.03
30 	0.001498 	97520 	47.86 	0.000673 	98641 	52.06
31 	0.001536 	97373 	46.93 	0.000710 	98575 	51.10
32 	0.001576 	97224 	46.00 	0.000753 	98505 	50.13
33 	0.001616 	97071 	45.07 	0.000805 	98431 	49.17
34 	0.001661 	96914 	44.15 	0.000864 	98351 	48.21
35 	0.001716 	96753 	43.22 	0.000932 	98266 	47.25
36 	0.001782 	96587 	42.29 	0.001005 	98175 	46.29
37 	0.001854 	96415 	41.37 	0.001082 	98076 	45.34
38 	0.001931 	96236 	40.44 	0.001160 	97970 	44.39
39 	0.002018 	96050 	39.52 	0.001243 	97856 	43.44
40 	0.002123 	95856 	38.60 	0.001336 	97735 	42.49
41 	0.002252 	95653 	37.68 	0.001442 	97604 	41.55
42 	0.002413 	95437 	36.76 	0.001562 	97463 	40.61
43 	0.002611 	95207 	35.85 	0.001698 	97311 	39.67
44 	0.002845 	94958 	34.95 	0.001849 	97146 	38.74
45 	0.003109 	94688 	34.04 	0.002014 	96966 	37.81
46 	0.003402 	94394 	33.15 	0.002195 	96771 	36.88
47 	0.003736 	94073 	32.26 	0.002402 	96559 	35.96
48 	0.004114 	93721 	31.38 	0.002639 	96327 	35.05
49 	0.004533 	93336 	30.51 	0.002903 	96072 	34.14
50 	0.004987 	92913 	29.64 	0.003189 	95794 	33.24
51 	0.005473 	92449 	28.79 	0.003488 	95488 	32.34
52 	0.005997 	91943 	27.94 	0.003795 	95155 	31.45
53 	0.006560 	91392 	27.11 	0.004105 	94794 	30.57
54 	0.007159 	90792 	26.29 	0.004423 	94405 	29.70
55 	0.007803 	90142 	25.47 	0.004775 	93987 	28.83
56 	0.008480 	89439 	24.67 	0.005153 	93539 	27.96
57 	0.009170 	88681 	23.87 	0.005528 	93057 	27.10
58 	0.009863 	87867 	23.09 	0.005893 	92542 	26.25
59 	0.010572 	87001 	22.32 	0.006266 	91997 	25.40
60 	0.011354 	86081 	21.55 	0.006688 	91420 	24.56
61 	0.012202 	85104 	20.79 	0.007176 	90809 	23.72
62 	0.013061 	84065 	20.04 	0.007724 	90157 	22.89
63 	0.013920 	82967 	19.30 	0.008339 	89461 	22.07
64 	0.014819 	81812 	18.57 	0.009034 	88715 	21.25
65 	0.015826 	80600 	17.84 	0.009832 	87914 	20.44
66 	0.016986 	79324 	17.12 	0.010740 	87049 	19.63
67 	0.018295 	77977 	16.40 	0.011754 	86114 	18.84
68 	0.019776 	76550 	15.70 	0.012881 	85102 	18.06
69 	0.021448 	75036 	15.01 	0.014141 	84006 	17.29
70 	0.023380 	73427 	14.32 	0.015612 	82818 	16.53
71 	0.025549 	71710 	13.66 	0.017275 	81525 	15.78
72 	0.027885 	69878 	13.00 	0.019047 	80117 	15.05
73 	0.030374 	67930 	12.36 	0.020909 	78591 	14.34
74 	0.033099 	65866 	11.73 	0.022939 	76947 	13.63
75 	0.036254 	63686 	11.11 	0.025297 	75182 	12.94
76 	0.039882 	61377 	10.51 	0.028045 	73280 	12.26
77 	0.043879 	58930 	9.93 	0.031131 	71225 	11.60
78 	0.048256 	56344 	9.36 	0.034582 	69008 	10.96
79 	0.053123 	53625 	8.81 	0.038467 	66621 	10.33
80 	0.058711 	50776 	8.28 	0.043008 	64059 	9.73
81 	0.065081 	47795 	7.76 	0.048175 	61304 	9.14
82 	0.072139 	44685 	7.27 	0.053772 	58350 	8.58
83 	0.079912 	41461 	6.80 	0.059770 	55213 	8.04
84 	0.088529 	38148 	6.34 	0.066367 	51913 	7.52
85 	0.098148 	34771 	5.91 	0.073828 	48467 	7.01
86 	0.108902 	31358 	5.50 	0.082382 	44889 	6.53
87 	0.120886 	27943 	5.11 	0.092183 	41191 	6.08
88 	0.134149 	24565 	4.74 	0.103305 	37394 	5.64
89 	0.148699 	21270 	4.40 	0.115746 	33531 	5.23
90 	0.164525 	18107 	4.08 	0.129475 	29650 	4.85
91 	0.181600 	15128 	3.79 	0.144443 	25811 	4.50
92 	0.199884 	12381 	3.52 	0.160590 	22083 	4.18
93 	0.219331 	9906 	3.27 	0.177853 	18536 	3.88
94 	0.239886 	7733 	3.05 	0.196165 	15240 	3.61
95 	0.260269 	5878 	2.85 	0.214677 	12250 	3.37
96 	0.280109 	4348 	2.68 	0.233091 	9620 	3.16
97 	0.299013 	3130 	2.53 	0.251082 	7378 	2.96
98 	0.316578 	2194 	2.39 	0.268304 	5525 	2.79
99 	0.332406 	1500 	2.27 	0.284403 	4043 	2.63
100 	0.349027 	1001 	2.15 	0.301467 	2893 	2.48
101 	0.366478 	652 	2.04 	0.319555 	2021 	2.33
102 	0.384802 	413 	1.93 	0.338728 	1375 	2.19
103 	0.404042 	254 	1.83 	0.359052 	909 	2.06
104 	0.424244 	151 	1.73 	0.380595 	583 	1.93
105 	0.445456 	87 	1.63 	0.403431 	361 	1.81
106 	0.467729 	48 	1.54 	0.427637 	215 	1.69
107 	0.491116 	26 	1.45 	0.453295 	123 	1.58
108 	0.515671 	13 	1.36 	0.480492 	67 	1.47
109 	0.541455 	6 	1.28 	0.509322 	35 	1.37
110 	0.568528 	3 	1.20 	0.539881 	17 	1.27
111 	0.596954 	1 	1.13 	0.572274 	8 	1.18
112 	0.626802 	1 	1.05 	0.606611 	3 	1.09
113 	0.658142 	0 	0.98 	0.643007 	1 	1.01
114 	0.691049 	0 	0.92 	0.681588 	0 	0.93
115 	0.725602 	0 	0.86 	0.722483 	0 	0.86
116 	0.761882 	0 	0.79 	0.761882 	0 	0.79
117 	0.799976 	0 	0.74 	0.799976 	0 	0.74
118 	0.839975 	0 	0.68 	0.839975 	0 	0.68
119 	0.881973 	0 	0.63 	0.881973 	0 	0.63
